Time,AgeStart,Value
1990,0,344355
1990,1,337724
1990,2,336965.5
1990,3,336958
1990,4,335208
1990,5,332710.5
1990,6,331481
1990,7,329321.5
1990,8,329539.5
1990,9,320156
1990,10,305233
1990,11,298279
1990,12,291197
1990,13,280658.5
1990,14,268393
1990,15,253668
1990,16,240355.5
1990,17,231227
1990,18,221917
1990,19,211994
1990,20,202075
1990,21,192400.5
1990,22,182900.5
1990,23,173237.5
1990,24,163329
1990,25,153556.5
1990,26,144942.5
1990,27,137945.5
1990,28,131869.5
1990,29,126477.5
1990,30,121882
1990,31,118143.5
1990,32,115131.5
1990,33,112365
1990,34,109554.5
1990,35,106773
1990,36,103912
1990,37,100768.5
1990,38,97472
1990,39,93996.5
1990,40,89635.5
1990,41,75413
1990,42,63981
1990,43,63562.5
1990,44,62038.5
1990,45,59948.5
1990,46,57631.5
1990,47,55078.5
1990,48,52447
1990,49,50015
1990,50,47636
1990,51,45031.5
1990,52,42685
1990,53,41137.5
1990,54,40055
1990,55,38978
1990,56,37931.5
1990,57,37037.5
1990,58,36279.5
1990,59,35649
1990,60,35105.5
1990,61,34649.5
1990,62,33930
1990,63,32718.5
1990,64,31218.5
1990,65,29616
1990,66,27312.5
1990,67,24958.5
1990,68,22411.5
1990,69,20564
1990,70,19468.5
1990,71,18383.5
1990,72,17040
1990,73,15680
1990,74,14289.5
1990,75,15207.5
1990,76,15461
1990,77,12542
1990,78,10015.5
1990,79,8476
1990,80,7260.5
1990,81,6179.5
1990,82,5253.5
1990,83,4391.5
1990,84,3608.5
1990,85,2921
1990,86,2371
1990,87,1925
1990,88,1533
1990,89,1199.5
1990,90,923
1990,91,698.5
1990,92,520
1990,93,380
1990,94,272
1990,95,190
1990,96,129.5
1990,97,86.5
1990,98,56.5
1990,99,35.5
1990,100,54
