Time,Value
1990,4948
1991,3749
1992,75788
1993,-243947
1994,-174723
1995,-45428
1996,978
1997,395
1998,6645
1999,-86343
2000,-165181
2001,-139361
2002,-101212
2003,-96667
2004,-127550
2005,-134212
2006,-57257
2007,-118299
2008,-113858
2009,-108689
2010,-108671
2011,-108714
2012,-177061
2013,-176972
2014,-177029
2015,-162220
2016,-140181
2017,-128241
2018,-117758
2019,-103107
2020,-89440
2021,-74623
2022,-102828
2023,-97380
2024,-60528
2025,-54555
2026,-54620
2027,-54908
2028,-57238
2029,-56571
2030,-61071
2031,-59910
2032,-53810
2033,-50457
2034,-60263
2035,-51648
2036,-62748
2037,-62455
2038,-61137
2039,-64599
2040,-61224
